,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
336,Аккумуляторный винтоверт Metabo PowerMaxx BS 600079550,10 мм,,34 Нм,,517,,0.8 кг,,есть,,,18 мм,,,12 В,,,,,Li-Ion,,,,
337,Аккумуляторная дрель-шуруповерт Ресанта ДА-20-2ЛК 75/14/11,12 мм,,55 Нм,,17,2 аккумулятора в комплекте – для непрерывной работы без простоев,1.3 кг,,есть,,,30 мм,,,20 В,,,,,Li-Ion,,,,
338,"Бесщеточная аккумуляторная дрель-шуруповерт Интерскол ДА-10/12В 36 КомбиМАКС Li-ion, кейс, 2 аккум., 2Ач, 4 насадки 687.2.2.79",10 мм,,36 Нм,,10,,0.54 кг,,есть,,,26 мм,,,12 В,,,,,Li-Ion,,,,
339,Аккумуляторная дрель-шуруповерт ИНТЕРСКОЛ ДА-13/18ВК 575.2.2.70,13 мм,,45 Нм,,51,,1.6 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
340,"Аккумуляторная ударная дрель-шуруповерт DEKO DKCID20 бесщеточная, 20 В, 80 Нм, 2х4.0Ач 063-4421",13 мм,,80 Нм,,34,,2.79 кг,,есть,,,50 мм,,,20 В,,,,,Li-Ion,,,,
341,"Аккумуляторная дрель Sturm 18 В, 1BatterySystem, 2 акк. 2,0Ач,съемный патрон, кейс CD3618T",,,30 Нм,,41,,2.82 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
342,Аккумуляторная дрель-шуруповерт AEG BS 12C2 LI-202С 4935447867,10 мм,,34 Нм,,57,Металлический редуктор обеспечивает максимальную надежность,1.1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
343,Аккумуляторная дрель-шуруповерт PATRIOT BR 207UES 180301507,8 мм,,,,37,20 ступеней крутящего момента для работы с мягкими и твердыми материалами,2 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
344,"Дрель-шуруповерт аккумуляторный Kolner 18V UNI-M, BL, 34/15 Нм, Коlner KDD 18BL-2K, 8020100563",10 мм,,38 Нм,,9,,0.83 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
345,"Аккумуляторная бесщёточная дрель-шуруповерт WORX 20В, 60Нм, бесщеточная, 2Ач х2, ЗУ, кейс WX102",13 мм,,60 Нм,,16,,1.5 кг,,есть,,,40 мм,,,20 В,,,,,Li-Ion,,,,
346,Дрель-шуруповерт аккумуляторная Dewalt DCD710DK2,10 мм,,24 Нм,,1,,1.1 кг,,есть,,,20 мм,,,10.8 В,,,,,Li-Ion,,,,
347,Ударная дрель-шуруповерт Ryobi 18В RPD18-2C52S 5133005526,13 мм,,52 Нм,,4,,1.2 кг,,есть,,13 мм,38 мм,,,18 В,,,,,Li-Ion,,,,
348,"Дрель-шуруповерт аккумуляторная Zitrek Green 12V Plus, 12В, 1x1,5Ач 085-1013",10 мм,,28 Нм,,,"2 скорости, компактный и эргономичный – идеально для дома и сборки мебели",1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
349,Бесщеточная аккумуляторная дрель-шуруповерт AEG 18В BS18C3BL-402C 4935478936,13 мм,,110 Нм,,6,24 положения муфты для аккуратного закручивания шурупов разного размера,2.35 кг,,есть,,,65 мм,,,18 В,,,,,Li-Ion,,,,
350,"Дрель-шуруповерт аккумуляторная бесщеточная Ставр 18В UNI-M, максимальный крутящий момент 50Нм, Stavr SDD 18BL-2К, 9020100433",13 мм,,50 Нм,,3,,1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
351,Аккумуляторный шуруповерт Hanskonner HCD1645BLC,20 мм,,45 Нм,,2,,,,есть,,,10 мм,,,14.4 В,,,,,Li-Ion,,,,
352,"Дрель-шуруповерт ЗУБР Профессионал 20В, 2 АКБ 2Ач, в кейсе DL-201-22",10 мм,,50 Нм,,31,,1.25 кг,,есть,,,35 мм,,,20 В,,,,,Li-Ion,,,,
353,Аккумуляторная дрель-шуруповерт Patriot 181Li 180201425,6 мм,,29 Нм,,205,2 аккумулятора и зарядка в течение часа – работа без перерыва,,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
354,Аккумуляторный винтовёрт Elitech CS 2003SL (E2201.055.01) HD 205732,,,260 Нм,,8,,4.4 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
355,Аккумуляторная дрель-шуруповерт EDON AD-21AP 15422,10 мм,,40 Нм,,61,,1.1 кг,,есть,,,25 мм,,,21 В,,,,,Li-Ion,,,,
356,"Винтоверт аккумуляторный ударный бесщеточный Zitrek DKIS20 PRO, 20В, 200 Нм, 1x2.0Ач 085-1017",,,200 Нм,,,Эффективно: бесщеточный двигатель и регулировка крутящего момента,1.4 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
357,Ударный аккумуляторный шуруповерт Makita LXT 18В DTD153SF,,,170 Нм,,5,,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
358,"Винтоверт аккумуляторный ударный бесщеточный Zitrek DKIS20 PRO в кейсе, 20В, 200 Нм, 2x4.0Ач 085-1018",,,200 Нм,,2,"Продуманно: бесщеточный двигатель, регулировка крутящего момента и 2 АКБ по 4 Ач",2.2 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
359,"Бесщеточная аккумуляторная дрель-шуруповерт Интерскол МиниМАКС ДА-10/12В 38 Li-ion, кейс, 2 аккум., 2,5Ач, ЗУ 757.2.2.45",10 мм,,,,26,,0.74 кг,,,,,26 мм,,,12 В,,,,,Li-Ion,,,,
360,"Дрель-шуруповерт ЗУБР Профессионал 20В, 2 АКБ 4Ач, в кейсе DL-201-42",10 мм,,50 Нм,,29,,1.5 кг,,есть,,,35 мм,,,20 В,,,,,Li-Ion,,,,
361,Аккумуляторная дрель Elitech CD 20SL2 (E2201.040.01) HD 205717,13 мм,,60 Нм,,10,,1.1 кг,,есть,,,35 мм,,,20 В,,,,,Li-Ion,,,,
362,"Дрель-шуруповерт аккумуляторная DEKO DKCD20-Li в кейсе, 20В, 2x2.5Ач 085-1123",10 мм,,,,,Max крутящий момент : 42 Нм,1.6 кг,,нет,,,28 мм,,,20 В,,,,,Li-Ion,,,,
363,Сетевая дрель-шуруповерт ЗУБР ДШ-М3-500-2 К,10 мм,10 мм,45 Нм,,197,,1.6 кг,5 м,,,,25 мм,,500 Вт,,,нет,,,,,,,0-500/0-1800 об/мин
364,Аккумуляторная дрель Einhell PXC TP-CD 18/80 Li BL + 1 акк. PXC Plus 5.2Ач 18В + ЗУ 4А 4514300SET,,,80 Нм,,13,,1.41 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
365,Аккумуляторная дрель-шуруповерт PATRIOT BR 183UES 180201483,10 мм,,29 Нм,,29,"Для работы с крепежом среднего размера, сверления дерева, металла, кирпича",,,есть,,,,,,18 В,,,,,Li-Ion,,,,
366,Аккумуляторный шуруповерт Sturm BatterySystem12V CD1240C,10 мм,,40 Нм,,3,,,,есть,,,30 мм,,,12 В,,,,,Li-Ion,,,,
367,"Винтоверт Patriot BR 469 HEX 1/4, 16.8В, 2.0 Ач, 70Нм, 2 акб и зу, кейс 180201469",,,70 Нм,,3,,1.9 кг,,есть,,,,,,16.8 В,,,,,Li-Ion,,,,
368,Аккумуляторный шуруповерт Hanskonner 1BatterySystem HCD2065BLIC,13 мм,,65 Нм,,2,,,,есть,,13 мм,25 мм,,,18 В,,,,,Li-Ion,,,,
369,"Аккумуляторная ударная дрель-шуруповер Greenworks 24V, 140 Нм, бесщеточная, без АКБ и ЗУ 3707607",15 мм,,140 Нм,,13,,1.87 кг,,нет,,,40 мм,,,24 В,,,,,Li-Ion,,,,
370,"Аккумуляторная безударная дрель ПУЛЬСАР ДА 18-45Б 18 В, 45 Hm, Li-on, BL-мотор, 2,0 Ah, 2 аккумулятора, кейс 916-974",10 мм,,45 Нм,,7,,2 кг,,есть,,,28 мм,,,18 В,,,,,Li-Ion,,,,
371,Аккумуляторная дрель-шуруповерт ПОБЕДА ДА-18/2 Ли 180201636,8 мм,,38 Нм,,61,,1.6 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
372,"Шуруповерт ударный аккумуляторный Ставр 230 Нм, hex 1/4+1/2, BL двиг, 18V UNI-M, Stavr SID 18BL-230V-1K 9022300034",,,230 Нм,,5,,1 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
373,Аккумуляторная дрель-шуруповерт GreenWorks GD24DD35K2 3704007UA,,,35 Нм,,12,,1.03 кг,,есть,,,,,,24 В,,,,,Li-Ion,,,,
374,Аккумуляторная дрель-шуруповерт ПУЛЬСАР ДА 12-2П 792-681,10 мм,,25 Нм,,23,,1.5 кг,,есть,,,22 мм,,,12 В,,,,,Li-Ion,,,,
375,Бесщеточная дрель-шуруповерт Felisatti ДА-18В ЗУ слайдерного типа 198.5.2.00,10 мм,,42 Нм,,6,,1.1 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
376,Аккумуляторный шуруповерт Sturm CD3512BL,10 мм,,32 Нм,,9,,2.028 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
377,Ударный аккумуляторный винтоверт Einhell PXC TE-CI 18/1 Li Solo 4510034,,,140 Нм,,55,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.14 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
378,"Аккумуляторная дрель-шуруповерт WORX WX108 45Нм, 20В, 2Ач x2, ЗУ 2А, кейс",,,45 Нм,,30,,0.81 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
379,"Аккумуляторная дрель-шуруповерт Zitrek Greenpower 12-Li (12В, Li-ion аккумулятор 2шт, ЗУ, кейс, бита) 063-4074",10 мм,,32 Нм,,84,2 скорости и 2 слайдерных аккумулятора в комплекте,1.315 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
380,"Бесщеточная аккумуляторная дрель-шуруповерт Интерскол ДАУ-10/12В 38 МиниМАКС (Li-ion, кейс, 2 аккум., 2,5 Ач, ЗУ) 767.2.2.45",10 мм,,38 Нм,,6,,0.75 кг,,есть,,,26 мм,,,12 В,,,,,Li-Ion,,,,
381,Аккумуляторная дрель-шуруповерт Спец БДА-18-М СПЕЦ-3420,10 мм,,42 Нм,,39,,2.35 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
382,Дрель-шуруповерт аккумуляторная бесщеточная ударная Витязь ДА-1016-У10М 18012026,10 мм,,40 Нм,,4,,1.165 кг,,есть,,,30 мм,,,16 В,,,,,Li-Ion,,,,
383,Дрель-шуруповерт аккумуляторная бесщеточная ударная Витязь ДА-1016-У10МБСП 18012025,10 мм,,40 Нм,,7,,0.85 кг,,есть,,6 мм,24 мм,7 мм,,16 В,,,,,Li-Ion,,,,
384,Аккумуляторная дрель-шуруповерт DEKO ZKCD80FU-Li SET 3 063-4128,10 мм,,18 Нм,,33,Малые габариты и электронная регулировка оборотов: оптимально для сборки мебели,0.75 кг,,есть,,,35 мм,,,8 В,,,,,Li-Ion,,,,
385,Аккумуляторная дрель-шуруповерт Edon AD-12CA 22506,,,23 Нм,,8,,0.9 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
386,"Ударная аккумуляторная дрель-шуруповерт WORX 60 Нм, 20 В, бесщеточная, 2 Ач x 2, ЗУ 2 А, кейс WX352",13 мм,,60 Нм,,13,,1.1 кг,,есть,,12 мм,40 мм,12 мм,,20 В,,,,,Li-Ion,,,,
387,Аккумуляторный шуруповерт-мультитул 4в1 Sturm 1BatterySystem CMT1801,10 мм,,40 Нм,,8,,5.6 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
388,Аккумуляторная дрель-шуруповерт Felisatti ДА-13/18ВК 151.5.1.00,13 мм,,75 Нм,,18,,3.1 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
389,Аккумуляторная дрель-шуруповерт PATRIOT BR 203UES 180201203,10 мм,,30 Нм,,27,Быстросменный патрон QCC – переход от сверления к закручиванию в одно движение,2.4 кг,,есть,,,10 мм,,,20 В,,,,,Li-Ion,,,,
390,Сетевой шуруповерт Вихрь СШ-550/1 72/16/2,10 мм,,20 Нм,,134,19 ступеней крутящего момента – для работы с крепежом разного размера,1.3 кг,1.5 м,,,,25 мм,,550 Вт,,,есть,,,,,,,0-800 об/мин
391,Сетевой шуруповерт Вихрь СШ-2А/34 72/16/3,10 мм,,34 Нм,,114,Встроенный фонарик – для работы в слабоосвещенных местах,1.4 кг,2 м,,,,25 мм,,550 Вт,,,нет,,,,,,,0-450/0-1500 об/мин
392,"Ударная аккумуляторная дрель-шуруповерт RUNTEC TECHNIC 13 мм, 20 В, 2x2 Ач, 40 Нм RT-ID40T",10 мм,,40 Нм,,7,,1.3 кг,,есть,,10 мм,35 мм,,,20 В,,,,,Li-Ion,,,,
393,"Аккумуляторная дрель Спец БДА-12-1, 12 В,1 аккум. х 2 Ач, Ли-Ион, 0-750 об/мин, 18 Нм, реверс, регулировка крут. момента, подсветка, зарядка 3-5 час, цв.коробка СПЕЦ-4104",6 мм,,22 Нм,,9,,1.05 кг,,есть,,,15 мм,,,12 В,,,,,Li-Ion,,,,
394,Аккумуляторная дрель Elitech CD 20ISL2 (E2201.041.02) HD 205723,13 мм,,65 Нм,,7,,1.13 кг,,есть,,,35 мм,,,20 В,,,,,Li-Ion,,,,
395,Аккумуляторная дрель-шуруповерт СОЮЗ ДШС-14К,,,27 Нм,,21,1BatterySystem: единый тип аккумулятора для разных инструментов,2.16 кг,,есть,,,,,,14 В,,,,,Li-Ion,,,,
396,Аккумуляторная дрель-шуруповерт Sturm CD3212SC,10 мм,,26 Нм,,72,,1.14 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
397,"Бесщеточная ударная дрель-шуруповерт Dewalt 20В, 2х4А*ч DCD996M2-A9",15 мм,,,,,Max крутящий момент : 95 Нм,,,есть,,15 мм,55 мм,15 мм,,20 В,,,,,Li-Ion,,,,
398,Аккумуляторный шуруповерт Союз ДШС-12-1-ПРОМО,10 мм,,30 Нм,,3,,0.75 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
399,Сетевой шуруповерт Makita FS4300,,6 мм,,,13,,1.4 кг,2.5 м,,,,,,570 Вт,,,есть,,,,,,,0 - 4000 об/мин
400,Аккумуляторный ударный бесщеточный шуруповерт REDVERG RD-IS18BLM/U 00006686446,13 мм,,120 Нм,,1,,3 кг,,есть,,,45 мм,16 мм,,18 В,,,,,Li-Ion,,,,
401,Аккумуляторная дрель-шуруповерт FERM CDM1120,8 мм,,,,33,,,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
402,Компактная дрель-шуруповерт Dewalt 12 В XR DCD701MD1E,10 мм,,57.5 Нм,,2,,,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
403,"Аккумуляторная дрель-шуруповерт SENIX 2 АКБ 2 Ач, ЗУ 2А, кейс PDDX2-M3-EU",10 мм,,50 Нм,,14,Небольшой размер для работы в труднодоступных местах,0.88 кг,,есть,,,25 мм,,,20 В,,,,,Li-Ion,,,,
404,Аккумуляторный дрель-шуруповерт DAEWOO DAA 1620 Li DAA 1620Li,10 мм,,35 Нм,,60,,2.2 кг,,есть,,,28 мм,,,16 В,,,,,Li-Ion,,,,
405,Аккумуляторная дрель-шуруповерт FLEX DD 2G 18.0 ec LD/2.5 set 519049,13 мм,,65 Нм,,1,,1.11 кг,,есть,,,52 мм,,,18 В,,,,,Li-Ion,,,,
406,Аккумуляторный ударный бесщеточный шуруповерт REDVERG RD-IS18BL/U 6672874,13 мм,,60 Нм,,16,,,,есть,,,45 мм,16 мм,,18 В,,,,,Li-Ion,,,,
407,Четырехскоростная аккумуляторная дрель-шуруповерт FLEX 18.0 В DD 4G 18.0-EC/5.0 Set 482757,13 мм,,135 Нм,,5,,1.5 кг,,есть,,,76 мм,,,18 В,,,,,Li-Ion,,,,
408,Аккумуляторная дрель-шуруповерт Einhell PXC TE-CD 18/40 Li-Solo 4513925,10 мм,,40 Нм,,41,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.46 кг,,нет,,,32 мм,,,18 В,,,,,Li-Ion,,,,
409,"Ударная аккумуляторная дрель-шуруповерт Kolner 20В, BL, 45Нм, KCD 20/2BLC, патрон БЗП 10 мм, 0-450/0-1700 об/мин (2x2.0 Ач, зу, набор инстр, кейс) 8020100543",10 мм,,45 Нм,,6,,,,есть,,12 мм,35 мм,12 мм,,20 В,,,,,Li-Ion,,,,
410,Ударная аккумуляторная дрель-шуруповерт Greenworks GD24DD60 3704107,13 мм,,60 Нм,,15,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.4 кг,,нет,,,38 мм,,,24 В,,,,,Li-Ion,,,,
411,"Ударная аккумуляторная дрель-шуруповерт WORX 50 Нм, 20 В, 2 Ач x 2, ЗУ 2 А, кейс WX370",13 мм,,50 Нм,,11,,1 кг,,есть,,,40 мм,13 мм,,20 В,,,,,Li-Ion,,,,
412,"Дрель-шуруповерт аккумуляторная бесщеточная компактная DEKO Loner 12V PRO со съёмным патроном, 12В, 1x3.0Ач 085-1121",10 мм,,40 Нм,,4,,0.96 кг,,есть,,,22 мм,,,12 В,,,,,Li-Ion,,,,
413,Аккумуляторная дрель-шуруповерт Dewalt DCD 800 NT без АКБ и ЗУ DCD800NT-XJ,13 мм,,90 Нм,,14,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.28 кг,,нет,,,55 мм,,,18 В,,,,,Li-Ion,,,,
414,Ударный аккумуляторный винтоверт Einhell PXC TE-CI 18 Li Brushless-Solo 4510030,,,180 Нм,,35,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.1 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
415,Аккумуляторная дрель-шуруповерт GreenWorks GD24DD60K2 3704107UA,,,60 Нм,,23,,4.1 кг,,есть,,,,,,24 В,,,,,Li-Ion,,,,
416,Аккумуляторная дрель-шуруповерт PATRIOT BR 201UES-h 180201205,,,30 Нм,,53,Единая система UES – в комплекте два аккумулятора и зарядное устройство,,,есть,,,,,,20 В,,,,,Li-Ion,,,,
417,Аккумуляторная дрель-шуруповерт Калибр ДА -18-2А+ 00000071066,8 мм,,25 Нм,,38,"Полноценный комплект: два аккумулятора 2 Ач, зарядное устройство и кейс",2.1 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
418,"Аккумуляторная дрель СПЕЦ БДА-18-БД 18В, бесщеточный двигатель, 0-400/0-1650 об/мин, подсветка, реверс, 45 Нм, 2 аккумулятора, кейс СПЕЦ-4116",10 мм,,45 Нм,,12,,2.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
419,"Дрель-шуруповерт аккумуляторная бесщеточная компактная DEKO Loner 12V PRO в кейсе со съёмным патроном, 12В, 2x3.0Ач 085-1122",10 мм,,,,,Max крутящий момент : 40 Нм,1.13 кг,,есть,,,22 мм,,,12 В,,,,,Li-Ion,,,,
420,"Аккумуляторная дрель-шуруповерт Electrolite Expert 12/2.0 по дереву и металлу, с набором, 12 В, 2.0 Ач емкость, 2 скорости, 2 аккумулятора Li-Ion, кейс, быстрозажимной патрон 3344",10 мм,,22 Нм,,6,,1.7 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
421,Аккумуляторная дрель-шуруповерт CROWN CT21072HX-2 BMC ,10 мм,,30 Нм,,27,,0.96 кг,,есть,,,28 мм,,,12 В,,,,,Li-Ion,,,,
422,Бесщеточная дрель-шуруповерт STATUS CBL 16-2Li 07126001,13 мм,,45 Нм,,45,,1 кг,,есть,,,35 мм,,,16 В,,,,,Li-Ion,,,,
423,Аккумуляторная дрель-шуруповерт Makita CXT DF032DWAE,10 мм,,35 Нм,,24,,0.87 кг,,есть,,,28 мм,,,10.8 В,,,,,Li-Ion,,,,
424,Аккумуляторная дрель-шуруповерт Einhell TE-CD 12/1 Li 4513594,10 мм,,30 Нм,,9,,1.1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
425,"Аккумуляторная дрель-шуруповерт ПОБЕДА ДА-20/2 Ли-М, 20В, 2,0Ач, 2 АКБ, 38Нм, кейс, комплект сверл и бит 180201702",,,,,,Max крутящий момент : 38 Нм,2.8 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
426,Ударный шуруповерт Makita TD0100,,,100 Нм,,49,,,2.5 м,,,,,,230 Вт,,,,,,,,,,0-3600 об/мин
